memory1,compute1,memory2,compute2,memory3,compute3,startup_time,load,throughput,latency
2,10,2,10,2,10,66976.957,2,1.046,1861.199
2,10,2,10,2,10,66976.957,4,1.42,2412.945
2,10,2,10,2,10,66976.957,8,1.938,3894.757
2,10,2,10,2,10,66976.957,16,2.066,7077.015
2,10,2,10,2,10,66976.957,32,2.24,13700.567
2,10,2,10,2,10,66976.957,64,2.095,29220.366
2,10,2,10,2,10,66976.957,128,2.1,48704.675
2,10,2,10,2,20,68004.493,2,0.904,1810.339
2,10,2,10,2,20,68004.493,4,1.243,2464.572
2,10,2,10,2,20,68004.493,8,1.938,3570.274
2,10,2,10,2,20,68004.493,16,1.987,6566.443
2,10,2,10,2,20,68004.493,32,2.107,12991.607
2,10,2,10,2,20,68004.493,64,2.115,26524.453
2,10,2,10,2,20,68004.493,128,2.104,44224.205
2,20,2,20,2,20,68394.599,2,1.237,1512.672
2,20,2,20,2,20,68394.599,4,1.805,1786.91
2,20,2,20,2,20,68394.599,8,2.645,2942.757
2,20,2,20,2,20,68394.599,16,2.838,5095.273
2,20,2,20,2,20,68394.599,32,2.969,10166.191
2,20,2,20,2,20,68394.599,64,2.708,21792.357
2,20,2,20,2,20,68394.599,128,2.862,35563.558
2,30,2,30,2,20,75474.936,2,1.168,1310.043
2,30,2,30,2,20,75474.936,4,1.805,1786.803
2,30,2,30,2,20,75474.936,8,2.733,2696.845
2,30,2,30,2,20,75474.936,16,3.047,4860.575
2,30,2,30,2,20,75474.936,32,2.241,11811.093
2,30,2,30,2,20,75474.936,64,2.289,22507.817
2,30,2,30,2,20,75474.936,128,2.381,34767.271
2,40,2,30,2,30,79053.286,2,1.652,1209.414
2,40,2,30,2,30,79053.286,4,2.088,1412.156
2,40,2,30,2,30,79053.286,8,3.165,2319.834
2,40,2,30,2,30,79053.286,16,3.448,4190.882
2,40,2,30,2,30,79053.286,32,2.465,9338.457
2,40,2,30,2,30,79053.286,64,2.401,19173.778
2,40,2,30,2,30,79053.286,128,2.431,31363.851
4,10,2,10,2,10,79588.398,2,1.103,1660.93
4,10,2,10,2,10,79588.398,4,1.168,2566.655
4,10,2,10,2,10,79588.398,8,1.623,4437.385
4,10,2,10,2,10,79588.398,16,1.87,8007.769
4,10,2,10,2,10,79588.398,32,1.862,16687.07
4,10,2,10,2,10,79588.398,64,1.896,33307.006
4,10,2,10,2,10,79588.398,128,1.928,53156.996
4,10,2,10,2,20,75027.64,2,0.904,2111.031
4,10,2,10,2,20,75027.64,4,1.325,2438.826
4,10,2,10,2,20,75027.64,8,1.73,3833.269
4,10,2,10,2,20,75027.64,16,1.87,6973.283
4,10,2,10,2,20,75027.64,32,1.895,12847.08
4,10,2,10,2,20,75027.64,64,1.931,28119.662
4,10,2,10,2,20,75027.64,128,1.949,46675.4
4,20,2,20,2,20,84473.533,2,0.992,1812.227
4,20,2,20,2,20,84473.533,4,1.652,2066.346
4,20,2,20,2,20,84473.533,8,1.656,4035.632
4,20,2,20,2,20,84473.533,16,2.093,6535.121
4,20,2,20,2,20,84473.533,32,1.94,13133.819
4,20,2,20,2,20,84473.533,64,2.281,24440.48
4,20,2,20,2,20,84473.533,128,2.468,39610.176
4,30,2,30,2,20,84925.037,2,1.322,1161.263
4,30,2,30,2,20,84925.037,4,2.332,1662.372
4,30,2,30,2,20,84925.037,8,3.047,2393.649
4,30,2,30,2,20,84925.037,16,3.521,4029.144
4,30,2,30,2,20,84925.037,32,3.38,8002.289
4,30,2,30,2,20,84925.037,64,3.089,16730.435
